"term","translation","frontSide"
"It took me a while to get used to the new routine","Мне потребовалось некоторое время, чтобы привыкнуть к новому распорядку","translation"
"Many people fear speaking in public","Многие боятся говорить публично","translation"
"Could you take out the trash?","Можешь вынести мусор?","translation"
"Can you get me some water?","Можешь принести мне воды?","translation"
"Can I ask you a question?","Можно задать тебе вопрос?","translation"
"Can I borrow your umbrella?","Можно я возьму твой зонт?","translation"
"My friends supported me during a difficult time","Мои друзья поддерживали меня в трудное время","translation"
"My boss speaks highly of my colleagues","Мой босс высокого мнения о моих коллегах","translation"
"My brother is very easy-going and friendly","Мой брат очень лёгкий в общении и дружелюбный","translation"
"My neighbor is such a nuisance, always playing loud music late at night","Мой сосед такой надоедливый, постоянно включает громкую музыку поздно вечером","translation"
"My car broke down on the way to work","Моя машина сломалась по дороге на работу","translation"
"My neighbor is so nosy, always asking questions","Моя соседка такая любопытная, всегда задаёт вопросы","translation"
"We have to solve this issue quickly","Мы должны быстро решить эту проблему","translation"
"We planned a trip to Nagoya","Мы запланировали поездку в Нагою","translation"
"We stumbled upon a beautiful hidden beach","Мы наткнулись на прекрасный скрытый пляж","translation"
